Location,Aquatic_Biomass,Terrestrial_Biomass,Main_Source,BIOME,Season,ratio,Main_source_by_season,Resource_richness,Month,Precipitation,biomass_density,p7,evi_mean,p1,p3,precip_p7_MERGE
Curralinho,58.1,0,Aquatic,CAATINGA,Rainy,Inf,Aquatic,14,January,44.26,176,114.6609448,0.122792857,6.048357964,56.88345432,0
Curralinho,20.5,0.2,Aquatic,CAATINGA,Rainy,102.5,Aquatic,17,April,21.39,176,6.813604355,0.125814288,0.80312109,6.813604355,17.5625
Curralinho,10.3,49.3,Terrestrial,CAATINGA,Dry,0.208924949,Aquatic,18,July,43.82,176,0,0.274064286,0,0,1.4375
Curralinho,49.9,0.1,Aquatic,CAATINGA,Dry,499,Aquatic,12,October,1.022,176,0,0.126464286,0,0,0.3125
Iiha,49.3,2.1,Aquatic,CAATINGA,Rainy,23.47619048,Aquatic,17,January,44.26,62,122.2823578,0.140621429,2.566318274,72.06485963,0
Iiha,60.8,3,Aquatic,CAATINGA,Rainy,20.26666667,Aquatic,9,April,21.39,62,8.961290866,0.135800001,4.1058321,8.638541698,13.6875
Iiha,24.9,6.1,Aquatic,CAATINGA,Dry,4.081967213,Aquatic,16,July,43.82,62,0,0.21248,0,0,3.0625
Iiha,30.5,1.1,Aquatic,CAATINGA,Dry,27.72727273,Aquatic,8,October,1.022,62,0,0.164400001,0,0,0.375
Niteroi,35.8,3.3,Aquatic,CAATINGA,Rainy,10.84848485,Aquatic,12,January,44.26,100,122.2823578,0.143,2.566318274,72.06485963,14
Niteroi,36.6,3.7,Aquatic,CAATINGA,Rainy,9.891891892,Aquatic,12,April,21.39,100,8.961290866,0.15731818,4.1058321,8.638541698,34.3125
Niteroi,21.9,1.2,Aquatic,CAATINGA,Dry,18.25,Aquatic,17,July,43.82,100,0,0.2669,0,0,14.9375
Niteroi,33.1,2.1,Aquatic,CAATINGA,Dry,15.76190476,Aquatic,13,October,1.022,100,0,0.153199998,0,0,14
UHE Xingo,35.6,64.2,Terrestrial,CAATINGA,Rainy,0.554517134,Aquatic,29,January,44.26,81,108.6125869,0.127133333,10.3356266,52.14503574,7
UHE Xingo,9.5,1.8,Aquatic,CAATINGA,Dry,5.277777778,Aquatic,13,April,43.82,81,0,0.340666667,0,0,12.3125
UHE Xingo,4.9,1.2,Aquatic,CAATINGA,Dry,4.083333333,Aquatic,11,October,1.022,81,0,0.178353333,0,0,7
Amparo,37.5,31.2,Aquatic,ATLANTIC,Dry,1.201923077,Aquatic,21,January,7.05,70,66.52068555,0.195078571,1.716893196,11.8048954,0
Amparo,9.5,323.9,Terrestrial,ATLANTIC,Rainy,0.02933004,Terrestial,16,April,25.65,70,24.6882751,0.193950002,22.53922462,24.6882751,22.3125
Amparo,25.3,4.2,Aquatic,ATLANTIC,Rainy,6.023809524,Terrestial,18,July,174.25,70,0,0.304057143,0,0,17.0625
Gararu,43.8,1.8,Aquatic,ATLANTIC,Rainy,24.33333333,Terrestial,19,April,25.65,107,22.37695459,0.214350001,13.41566372,22.05420542,13.4375
Gararu,52.8,71.2,Terrestrial,ATLANTIC,Rainy,0.741573034,Terrestial,33,July,174.25,107,0,0.3849,0,0,23.75
Gararu,25.4,2.2,Aquatic,ATLANTIC,Dry,11.54545455,Aquatic,11,October,14.29,107,0,0.192814283,0,0,7.75
Propria,28,1.7,Aquatic,ATLANTIC,Dry,16.47058824,Aquatic,18,January,7.05,62,66.52068555,0.083473333,1.716893196,11.8048954,14
Propria,24.8,5.6,Aquatic,ATLANTIC,Rainy,4.428571429,Terrestial,13,April,25.65,62,24.6882751,0.090957144,22.53922462,24.6882751,28.25
Propria,1.6,86.1,Terrestrial,ATLANTIC,Rainy,0.018583043,Terrestial,9,July,174.25,62,0,0.12982,0,0,19.6875
